T4a,,T5a,,T4b,,T5b,
X,Y,X,Y,X,Y,X,Y
34.30693677523577,0.145321044678411,37.36633616063014,0.457911491356644,38.34935098357761,0.4519332432036308,24.022102497417407,0.10807484862438721
35.569471709869916,0.14539803035226928,37.94815532359098,0.42479819981113076,38.849685081765614,0.58187023764053,25.295027674586976,0.09969677443504454
36.83170547805376,0.14572009022506127,38.35153745200681,0.39411047058851667,39.19665134618215,0.6223262064850905,26.56765168530626,0.09156377444463493
38.055128212612374,0.1553851311187877,38.6464014923923,0.3658848747969533,40.09148596115668,0.7426154701963146,27.836059365721283,0.08686181323929243
38.883020443233434,0.17852541965468505,39.06906350818717,0.3332966257264205,39.9874446646059,0.6912669899937073,29.101455381633315,0.08461059402328397
40.48157180591052,0.21800463646391588,39.94329198984467,0.3068697245992329,39.806085574527856,0.652036169775203,30.366851397545332,0.08235937480727551
42.04217672421176,0.26136324197455296,40.441376123676875,0.275177320232328,40.36210875542585,0.7889189924971177,31.6320968302322,0.08023069269073368
43.20169212671702,0.2862791783068592,40.93863204977076,0.2441588699124898,40.67521781790214,0.8290222309717944,32.901257426773,0.07491604598805779
44.444350075631235,0.30253106111032035,41.43423156038797,0.21448832768678527,40.96702301104072,0.8717834247095574,34.17342968781682,0.06715065729604852
45.687309190995734,0.318537869714848,41.92983107100518,0.1848177854610804,41.24733268077128,0.9114449819693053,35.445752532085805,0.05926273150457262
46.93026830636026,0.3345446783193756,42.445634603218494,0.1542738689756742,41.472785885467474,0.9459295130455636,36.71792479312961,0.05149734281256291
48.184521163611095,0.34136120446390184,43.057774091569186,0.13485054598970714,41.88966693954251,0.9669724162760991,37.9861818903195,0.04691791870668749
49.45428409305251,0.3355564093633595,44.20594671357206,0.12290823744692525,42.971133209543055,0.9467638146987873,38.960237011370495,0.048230627971941775
50.72510110506995,0.32889385456655007,45.49272554745552,0.10325675010664703,43.78898835114482,0.9233996861780951,41.08053164227144,0.05084983494441331
51.9950146177365,0.3229665223665409,46.77890204843838,0.08409541116423602,44.85725210243095,0.9064288037674811,42.34186191110439,0.05190711741400533
53.265530463303676,0.31654904176866516,48.0634221339446,0.06628198031595822,45.675107244032716,0.883064675246789,43.608763759267916,0.048430527203330076
54.53619689209597,0.3100090240713226,49.33649789433932,0.0577813690271487,46.74337099531884,0.8660937928361749,44.87882785515963,0.042380657903854146
55.40769730765781,0.30136973504360043,50.60806782248254,0.05050612873300597,47.47052703697665,0.836751859284981,46.14934370072679,0.03596317730597831
57.30665718507048,0.2972883178976541,51.87993891707606,0.042985814239929976,48.05666000599015,0.8015181766635961,47.419708963068786,0.02966823380756911
58.572053200982495,0.2950370986816456,53.15135826199413,0.03583311104525411,48.674865319670545,0.7696529578784341,48.692483557013205,0.02141269671769286
59.8211862285782,0.3060198862080392,54.42172352433613,0.029538167546844685,49.265101367854356,0.7385862250193743,49.96330056903068,0.014750141920883753
61.06941575682299,0.31773789633123284,55.69118528732723,0.02397844664523574,49.87825116346535,0.7066650282647555,51.23743041200146,0.005391770935807116
62.318097034743246,0.32908829515602644,56.96049646709318,0.01854126284309343,50.491621814473206,0.6745641104309188,52.52917849231493,-0.018303440686871175
63.527621968398435,0.3431128285375282,58.22664539913096,0.01567735812975135,51.10499246548109,0.6424631925970821,53.79517684112754,-0.02104480830074662
64.31266336013682,0.380130897340079,59.481048839606956,0.02237134717481082,51.718583971885835,0.6101825536840275,55.05786235898685,-0.021090359726354757
64.96869308049749,0.41390712015784015,60.725513787222965,0.037152784784671766,52.35029597343217,0.576778054124386,56.32054787684615,-0.021135911151962894
65.6176766642536,0.44623206818489536,61.969677568388704,0.052179296593465985,52.9975063052628,0.5413255496518989,57.581576979228785,-0.01983355448343782
66.26666024800969,0.47855701621195057,63.21444368245501,0.06671566000439322,53.43349852179843,0.5067856487652211,58.84366016418748,-0.019388957511179195
66.91564383176579,0.5108819642390058,64.41180619724378,0.0575561090709249,53.80145616161634,0.47484062221522205,60.099167881647915,-0.013593573862208608
67.5138055770334,0.5421059606611751,65.28413482054395,0.038336180705327516,54.1816637468003,0.4456643694260758,61.337509111441136,0.006171039125964173
68.23421680780767,0.5712180022533966,66.47237199188858,0.03094141497622127,54.61350524429409,0.4138955844071991,62.592715662451255,0.012211496973867808
68.6919285750887,0.6066274374585865,68.25715966799167,-0.0203412081812282,54.994987588185225,0.3803460720813262,63.852238932582395,0.014739224637060122
69.10940048905668,0.6405332270061806,69.49693269328404,-0.025093191251675417,55.414804835884965,0.3507803734261329,65.11462328399139,0.014938747410385478
69.52742454151692,0.6739897138557305,70.58671012653487,0.03216709520429695,55.795012421068904,0.3216041206369866,66.37896521732735,0.013545287890643465
69.94489645548492,0.7078955034033249,71.63123783842508,0.056936241590325176,56.261236371242546,0.2873309483548162,67.64165073518666,0.013499736465035328
70.36292050794513,0.7413519902528747,72.49606340156008,0.09212881289981012,56.68196267553125,0.25368958026160093,68.90554091884717,0.012473888243693665
70.78039242191313,0.775257779800469,73.36102561897188,0.12305880890776155,57.06217026071519,0.22451332747245467,70.16867818638192,0.0120607255196854
71.19841647437336,0.8087142666500187,74.26329827020813,0.1525649503749671,57.528394210888834,0.19024015519028437,71.43136370424122,0.012015174094077263
71.6157503537183,0.8427323818721242,75.47507615510274,0.17746209294175053,57.909837116316254,0.15672273591427155,72.69329630597478,0.012582308165802525
72.03349833693241,0.8764135200706962,76.74624883035678,0.20164541381445522,58.35415464085888,0.12746876625387538,74.03136262801222,0.015861243414310833
72.51407968056124,0.912338805451667,77.76715290247269,0.22710538240714118,59.5809758678172,0.1278675077382443,75.08208392756298,0.04121899690018127
72.92543540586767,0.9445497942451169,78.84398860385052,0.23818628431617217,60.84034855472319,0.13051777250090302,75.77075062006476,0.0812115541735614
73.38135121721676,0.9627395106129933,80.11299861716616,0.23299417471296313,62.099420075178855,0.13341311146249546,76.46141332387766,0.11489227247660172
74.38981764329732,0.9327726207653046,81.39872336847357,0.21420044706895203,63.357286929833336,0.1372887472198212,77.1166785447876,0.14929060672242445
75.44929523136243,0.9123291923261329,82.68670686815828,0.1935686629329405,64.60145071099905,0.15231525902861542,77.76566212854367,0.18161555474947977
76.2031343516184,0.886849325796043,83.97453978461779,0.17305941589639584,65.83913941348328,0.17261086611447696,78.41660329422673,0.21234752048346794
77.22331620686724,0.8698079717805512,85.2452062134101,0.16651939819905315,67.0768281159675,0.1929064732003387,78.93716197441275,0.24020469559179614
77.89245436245339,0.8472406988415846,86.49810382163459,0.17443875823877963,68.31466740167687,0.21307954318673383,79.53623775985703,0.27266622887836445
78.75486309860936,0.8186066904545448,87.75054968018362,0.18272572957690625,69.56892025892772,0.2198960693312597,79.81965872999125,0.30823920060321885
79.03853460158446,0.7804186527959107,89.00314612195781,0.19089016381556556,70.83552094064093,0.21666455331951795,80.12523977851076,0.33979029202477096
79.30438928558867,0.7508911834570027,90.25830247855954,0.19697146736329185,72.10182045590388,0.21367811150670923,80.43109689627637,0.3711167320973011
79.60156402556409,0.7192284910427104,91.52053624674339,0.19729352723608384,73.36811997116679,0.21069166969390074,80.73653991017277,0.40278014919336436
79.92081156357084,0.6839741961357866,92.78322176460269,0.1972479758104757,74.63984048253518,0.20329389230029116,81.04198292406922,0.4344435662894278
80.23165066942396,0.6501734615543852,94.04590728246201,0.19720242438486735,75.44557618423268,0.2014676942372715,81.34784004183483,0.46577000636195776
80.49733971188051,0.6207807830248905,95.40588285052407,0.2004040562697944,76.62475995745184,0.1759657976278326,81.65300698648515,0.4976580748070435
80.76286311278939,0.5915228953048092,96.55834999538529,0.22164262769107768,78.4899373248753,0.1526719530431917,81.95858803500464,0.5292091662285957
81.06483518334609,0.5623249585312413,97.34773963702061,0.23778833049790427,79.75849558851552,0.147847454738383,82.26416908352412,0.560760257650148
81.00262925303618,0.5365220335061229,98.95222832895071,0.27302909889660587,81.00311111935669,0.1625063552487771,82.52186341158539,0.5909448063034544
81.02813805137679,0.5157642488564664,100.02513648518722,0.2945709432109863,82.25209356372723,0.17361167987463744,82.8923444787571,0.6225917388801105
82.1911755628842,0.43746780338451985,101.36538139899282,0.3123632045675281,83.82361021804887,0.20247246080709203,83.13274943937826,0.6542716404955811
